Date,AAPL,META,TSLA,World,Politics,Coronavirus
2018-01-03,-0.1023167222738266,-0.3286046864730971,,-0.1873944413765699,,
2018-01-04,,-0.27970597520470614,,-0.2375876250055929,,
2018-01-05,0.18943584611018496,-0.09287650603801009,0.08438596874475478,-0.2975060551498945,,
2018-01-06,0.16020200370500484,-0.08818712426970404,0.2205748856067657,-0.20628462254323743,,
2018-01-07,,,-0.0429634861648082,-0.3924910329282284,,
2018-01-08,-0.04640201810333465,-0.2174755916930735,0.0946938565799168,-0.31406812416389585,,
2018-01-09,,0.0852520987391471,,-0.3477780202833506,,
2018-01-10,-0.18268256758650148,0.04009099453687665,0.0895766930447684,-0.26608882687287405,,
2018-01-11,-0.15390852683534226,-0.4190824313296212,0.0799616230651736,-0.24967209513891828,,
2018-01-12,,,,-0.26377011738993505,,
2018-02-03,-0.831819474697113,-0.21631476862563026,,-0.37409852465821636,,
2018-02-04,-0.4625848817328612,-0.35347760741909345,,-0.3216615038344989,,
2018-02-05,-0.2259077032407125,-0.2344589808157512,-0.056553390291002086,-0.2967827554505605,,
2018-02-06,,-0.8603665828704834,,-0.3764773133609976,,
2018-02-07,-0.05111383832991121,-0.013029557885602124,0.041989336907863606,-0.2224072967410872,,
2018-02-08,0.02281621149317784,0.14940573622783024,0.03441976911077896,-0.2434402815320275,,
2018-02-09,,-0.7219084799289703,,-0.3849129012227058,-0.005907926335930819,
2018-02-10,0.16509793698787684,-0.3596380650997162,-0.5583695620298386,-0.22013599398624467,-0.2424439874788125,
2018-02-11,-0.2735455329529941,-0.08734586010021826,-0.01511475443840029,-0.2426873778954881,-0.24305474758148193,
2018-02-12,,-0.2869885265827179,,-0.26113198734819887,-0.053180938586592674,
2018-02-13,,,,-0.3123777050480067,-0.08729099594056608,
2018-02-14,,,,-0.2325398054856219,-0.04738114303664158,
2018-02-15,,,,-0.279242645708784,-0.12194576167634555,
2018-02-16,,,,-0.21830365692655887,-0.26959229819476604,
2018-02-17,,,,-0.36400251897672814,-0.15686329702536267,
2018-02-18,,,,-0.32316208823487674,-0.0114908367395401,
2018-02-19,,,,-0.3717253987945743,-0.1381319724023342,
2018-02-20,,,,-0.305270655747549,-0.12455291415636356,
2018-02-21,,,,-0.3996174205572177,-0.06205209303233355,
2018-02-22,,,,-0.32087806006893516,-0.24776065380622944,
2018-02-23,,,,-0.35537541257765365,-0.30429363809525967,
2018-02-24,,,,-0.4796528236474842,-0.4044824969023466,
2018-02-25,,,,-0.37411219276049557,,
2018-02-26,,,,-0.31480916279057664,-0.24497160514195757,
2018-02-27,-0.01134425029158593,0.09083958715200421,,-0.2537978241344293,-0.11228757941474515,
2018-02-28,-0.14160797319241933,0.004017932340502767,,-0.24829525572176164,-0.2308732577200447,
2018-03-01,,,,,0.030399618877304913,
2018-03-02,,,,,-0.191091912984848,
2018-03-03,0.0562016926705837,0.2105942070484161,,-0.3512368584051728,0.0063387751579284494,
2018-03-04,-0.111170413770846,-0.2035979311913252,,-0.3535166734686265,0.074237436056137,
2018-03-05,-0.32725055813789367,-0.3469947318413428,-0.27357758794512066,-0.3084256564080715,-0.059479228620018296,
