,Date,Title,Text,Processed Title,Processed Text,Sentiment Title,Sentiment Text,Positive Title,Positive Text
0,"Sep 01, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Michael Elkins
A bill targeting Tesla's (NASDAQ:TSLA) depiction of its “Full Self-Driving” (FSD) program passed the California state Senate on Tuesday night and now heads to Gov. Gavin Newsom for...",top 5 things to watch in markets in the week ahead,by michael elkins a bill targeting teslas nasdaqtsla depiction of its full selfdriving fsd program passed the california state senate on tuesday night and now heads to gov gavin newsom for,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
1,"Aug 31, 2022",Dow Futures Move Higher As Investors Brace for Earnings,"By Ambar Warrick 
Investing.com-- Major Chinese automobile stocks slumped on Wednesday after Warren Buffett’s Berkshire Hathaway (NYSE:BRKa) sold part of its stake in automaker BYD...",dow futures move higher as investors brace for earnings,by ambar warrick  investingcom major chinese automobile stocks slumped on wednesday after warren buffetts berkshire hathaway nysebrka sold part of its stake in automaker byd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,False
2,"Aug 31, 2022",China's 20th Communist Party Congress: What you need to know,"By doing so, you and %USER_NAME% will not be able to see
any of each other's Investing.com's posts.",chinas 20th communist party congress what you need to know,by doing so you and user_name will not be able to see any of each others investingcoms posts,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
3,"Aug 30, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By doing so, you and %USER_NAME% will not be able to see
any of each other's Investing.com's posts.",top 5 things to watch in markets in the week ahead,by doing so you and user_name will not be able to see any of each others investingcoms posts,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
4,"Aug 29, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Sam Boughedda
A Deutsche Bank analyst maintained a Buy rating on Tesla (NASDAQ:TSLA) on Monday and moved the price target to $375 post stock split, following an investor meeting at the electric...",top 5 things to watch in markets in the week ahead,by sam boughedda a deutsche bank analyst maintained a buy rating on tesla nasdaqtsla on monday and moved the price target to 375 post stock split following an investor meeting at the electric,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
5,"Aug 29, 2022",Dow Futures Move Higher As Investors Brace for Earnings,"By Scott Kanowsky
Investing.com -- Stocks in focus in premarket trade on Monday, August 29th. Please refresh for updates.
Technology and growth stocks including Apple (NASDAQ:AAPL), Amazon...",dow futures move higher as investors brace for earnings,by scott kanowsky investingcom  stocks in focus in premarket trade on monday august 29th please refresh for updates technology and growth stocks including apple nasdaqaapl amazon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.6808}",False,True
6,"Aug 29, 2022",China's 20th Communist Party Congress: What you need to know,"By doing so, you and %USER_NAME% will not be able to see
any of each other's Investing.com's posts.",chinas 20th communist party congress what you need to know,by doing so you and user_name will not be able to see any of each others investingcoms posts,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
7,"Aug 29, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Michael Elkins
Tesla (NASDAQ:TSLA) updated their online configurator today to include a new base version of the Model Y. The new version is a rear-wheel-drive Standard Range model that is currently...",top 5 things to watch in markets in the week ahead,by michael elkins tesla nasdaqtsla updated their online configurator today to include a new base version of the model y the new version is a rearwheeldrive standard range model that is currently,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
8,"Aug 27, 2022",Dow Futures Move Higher As Investors Brace for Earnings,"By doing so, you and %USER_NAME% will not be able to see
any of each other's Investing.com's posts.",dow futures move higher as investors brace for earnings,by doing so you and user_name will not be able to see any of each others investingcoms posts,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,False
9,"Aug 26, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Michael Elkins
A Jefferies analyst adjusted their price target for Tesla (NASDAQ:TSLA) to reflect the electric car company’s recent 3:1 stock split. The company’s new price target for 12 months is...",top 5 things to watch in markets in the week ahead,by michael elkins a jefferies analyst adjusted their price target for tesla nasdaqtsla to reflect the electric car companys recent 31 stock split the companys new price target for 12 months is,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
