year,period,periodName,latest,value,footnotes
2022,Q02,2nd Quarter,true,5.1,[{}]
2022,Q01,1st Quarter,,4.5,[{}]
2021,Q04,4th Quarter,,4.0,[{}]
2021,Q03,3rd Quarter,,3.7,[{}]
2021,Q02,2nd Quarter,,2.9,[{}]
2021,Q01,1st Quarter,,2.6,[{}]
2020,Q04,4th Quarter,,2.5,[{}]
2020,Q03,3rd Quarter,,2.4,[{}]
2020,Q02,2nd Quarter,,2.7,[{}]
2020,Q01,1st Quarter,,2.8,[{}]
2019,Q04,4th Quarter,,2.7,[{}]
2019,Q03,3rd Quarter,,2.8,[{}]
2019,Q02,2nd Quarter,,2.7,[{}]
2019,Q01,1st Quarter,,2.8,[{}]
2018,Q04,4th Quarter,,2.9,[{}]
2018,Q03,3rd Quarter,,2.8,[{}]
2018,Q02,2nd Quarter,,2.8,[{}]
2018,Q01,1st Quarter,,2.7,[{}]
