Date,Title,Processed Title,Sentiment Title
2022-01-09,U.S. CDC backs use of redesigned Omicron COVID boosters,us cdc back use redesign omicron covid boosters,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-01-09,U.S. study shows alarming dip in 9-year-olds' reading and math skills during pandemic,us study show alarm dip 9yearolds read math skills pandemic,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}"
2022-01-09,China's Shenzhen widens COVID restrictions as cases rise,china shenzhen widen covid restrictions case rise,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-08-31,Explainer-Updated COVID vaccines are coming in the U.S. Should you get one?,explainerupdated covid vaccines come us get one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-08-31,U.S. life expectancy fell further in 2021 due to COVID,us life expectancy fell 2021 due covid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-08-29,'It felt like my insides were crying': China COVID curbs hit youth mental health,felt like insides cry china covid curb hit youth mental health,"{'neg': 0.212, 'neu': 0.616, 'pos': 0.171, 'compound': -0.1531}"
2022-08-29,U.S. Supreme Court's Sotomayor keeps New York City COVID vaccine mandate,us supreme court sotomayor keep new york city covid vaccine mandate,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}"
2022-08-25,China customs drops some COVID reporting for international arrivals; quarantine remains,china customs drop covid report international arrivals quarantine remain,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
2022-08-23,"Analysis-Experts question reliance on monkeypox vaccine with little data, short supply",analysisexperts question reliance monkeypox vaccine little data short supply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-08-20,"North Korea imports of Chinese masks, gloves surged before declaring COVID victory",north korea import chinese mask gloves surge declare covid victory,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-08-17,U.S. CDC plans to focus on public health response after pandemic failings,us cdc plan focus public health response pandemic fail,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}"
2022-08-16,"Explainer - Why has polio been found in London, New York and Jerusalem, and how dangerous is it?",explainer polio find london new york jerusalem dangerous,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}"
2022-08-16,China to discourage abortions to boost low birth rate,china discourage abortions boost low birth rate,"{'neg': 0.422, 'neu': 0.345, 'pos': 0.233, 'compound': -0.296}"
2022-08-15,"U.S., South Korea, Japan hold missile defense exercise with eye on North Korea, China",us south korea japan hold missile defense exercise eye north korea china,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}"
2022-08-15,"Pentagon chief tests positive for COVID-19, has mild symptoms",pentagon chief test positive covid19 mild symptoms,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}"
2022-08-15,"Explainer - Why has polio been found in London, New York and Jerusalem, and how dangerous is it?",explainer polio find london new york jerusalem dangerous,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}"
2022-08-13,Shanghai extends weekly COVID-19 testing requirement until end of September,shanghai extend weekly covid19 test requirement end september,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.1779}"
2022-05-11,"Powell Talks a Hawkish Game, but Will Be Wary of Another Policy Mistake",powell talk hawkish game wary another policy mistake,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}"
2022-05-11,"Buffett's Berkshire loses money as stocks, Hurricane Ian offset rising demand",buffett berkshire lose money stock hurricane ian offset rise demand,"{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.4939}"
2022-04-11,"Stock Market Today: Dow Gains, but Ends Weekly Win Streak Amid Mixed Jobs Report",stock market today dow gain end weekly win streak amid mix job report,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.802}"
2022-04-11,China's Xi Warns Putin Not to Use Nuclear Weapons in Ukraine,china xi warn putin use nuclear weapons ukraine,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.5106}"
2022-05-11,Biden comments on coal-fired plants slammed by Manchin ahead of U.S. midterms,biden comment coalfired plant slam manchin ahead us midterms,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}"
2022-03-11,Buffett Keeps Buying: An Updated Overview Of The Oracle Of Omaha's Portfolio,buffett keep buy update overview oracle omaha portfolio,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-03-11,2 Dividend-Paying Stocks Offering Value After A Big Decline This Year,2 dividendpaying stock offer value big decline year,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}"
2022-04-11,U.S. Dollar And Rates May Be Heading To New Highs,us dollar rat may head new highs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-03-11,Chart Of The Day: Dollar Likely To Advance To 115,chart day dollar likely advance 115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2022-04-11,"Peloton: Despite Upbeat Spin On Latest Losses, Stock Could Go To Zero",peloton despite upbeat spin latest losses stock could go zero,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
2022-12-08,"N.Korea lifts mask mandate, distancing rules after declaring COVID victory",nkorea lift mask mandate distance rule declare covid victory,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
