Date,Title,Processed Title,Sentence Title,Label Title,Score
2022-01-09,U.S. CDC backs use of redesigned Omicron COVID boosters,us cdc back use redesign omicron covid boosters,"Sentence: ""us cdc back use redesign omicron covid boosters"" → NEGATIVE (0.9981)",NEGATIVE,-1
2022-01-09,U.S. study shows alarming dip in 9-year-olds' reading and math skills during pandemic,us study show alarm dip 9yearolds read math skills pandemic,"Sentence: ""us study show alarm dip 9yearolds read math skills pandemic"" → NEGATIVE (0.9981)",NEGATIVE,-1
2022-01-09,China's Shenzhen widens COVID restrictions as cases rise,china shenzhen widen covid restrictions case rise,"Sentence: ""china shenzhen widen covid restrictions case rise"" → NEGATIVE (0.9762)",NEGATIVE,-1
2022-08-31,Explainer-Updated COVID vaccines are coming in the U.S. Should you get one?,explainerupdated covid vaccines come us get one,"Sentence: ""explainerupdated covid vaccines come us get one"" → NEGATIVE (0.9988)",NEGATIVE,-1
2022-08-31,U.S. life expectancy fell further in 2021 due to COVID,us life expectancy fell 2021 due covid,"Sentence: ""us life expectancy fell 2021 due covid"" → NEGATIVE (0.9999)",NEGATIVE,-1
2022-08-29,'It felt like my insides were crying': China COVID curbs hit youth mental health,felt like insides cry china covid curb hit youth mental health,"Sentence: ""felt like insides cry china covid curb hit youth mental health"" → NEGATIVE (0.9998)",NEGATIVE,-1
2022-08-29,U.S. Supreme Court's Sotomayor keeps New York City COVID vaccine mandate,us supreme court sotomayor keep new york city covid vaccine mandate,"Sentence: ""us supreme court sotomayor keep new york city covid vaccine mandate"" → POSITIVE (0.9618)",POSITIVE,1
2022-08-25,China customs drops some COVID reporting for international arrivals; quarantine remains,china customs drop covid report international arrivals quarantine remain,"Sentence: ""china customs drop covid report international arrivals quarantine remain"" → NEGATIVE (0.9208)",NEGATIVE,-1
2022-08-23,"Analysis-Experts question reliance on monkeypox vaccine with little data, short supply",analysisexperts question reliance monkeypox vaccine little data short supply,"Sentence: ""analysisexperts question reliance monkeypox vaccine little data short supply"" → NEGATIVE (0.9836)",NEGATIVE,-1
2022-08-20,"North Korea imports of Chinese masks, gloves surged before declaring COVID victory",north korea import chinese mask gloves surge declare covid victory,"Sentence: ""north korea import chinese mask gloves surge declare covid victory"" → NEGATIVE (0.6547)",NEGATIVE,-1
2022-08-17,U.S. CDC plans to focus on public health response after pandemic failings,us cdc plan focus public health response pandemic fail,"Sentence: ""us cdc plan focus public health response pandemic fail"" → NEGATIVE (0.9946)",NEGATIVE,-1
2022-08-16,"Explainer - Why has polio been found in London, New York and Jerusalem, and how dangerous is it?",explainer polio find london new york jerusalem dangerous,"Sentence: ""explainer polio find london new york jerusalem dangerous"" → NEGATIVE (0.9971)",NEGATIVE,-1
2022-08-16,China to discourage abortions to boost low birth rate,china discourage abortions boost low birth rate,"Sentence: ""china discourage abortions boost low birth rate"" → NEGATIVE (0.999)",NEGATIVE,-1
2022-08-15,"U.S., South Korea, Japan hold missile defense exercise with eye on North Korea, China",us south korea japan hold missile defense exercise eye north korea china,"Sentence: ""us south korea japan hold missile defense exercise eye north korea china"" → NEGATIVE (0.9756)",NEGATIVE,-1
2022-08-15,"Pentagon chief tests positive for COVID-19, has mild symptoms",pentagon chief test positive covid19 mild symptoms,"Sentence: ""pentagon chief test positive covid19 mild symptoms"" → NEGATIVE (0.9078)",NEGATIVE,-1
2022-08-15,"Explainer - Why has polio been found in London, New York and Jerusalem, and how dangerous is it?",explainer polio find london new york jerusalem dangerous,"Sentence: ""explainer polio find london new york jerusalem dangerous"" → NEGATIVE (0.9971)",NEGATIVE,-1
2022-08-13,Shanghai extends weekly COVID-19 testing requirement until end of September,shanghai extend weekly covid19 test requirement end september,"Sentence: ""shanghai extend weekly covid19 test requirement end september"" → POSITIVE (0.9255)",POSITIVE,1
2022-05-11,"Powell Talks a Hawkish Game, but Will Be Wary of Another Policy Mistake",powell talk hawkish game wary another policy mistake,"Sentence: ""powell talk hawkish game wary another policy mistake"" → NEGATIVE (0.9985)",NEGATIVE,-1
2022-05-11,"Buffett's Berkshire loses money as stocks, Hurricane Ian offset rising demand",buffett berkshire lose money stock hurricane ian offset rise demand,"Sentence: ""buffett berkshire lose money stock hurricane ian offset rise demand"" → NEGATIVE (0.7945)",NEGATIVE,-1
2022-04-11,"Stock Market Today: Dow Gains, but Ends Weekly Win Streak Amid Mixed Jobs Report",stock market today dow gain end weekly win streak amid mix job report,"Sentence: ""stock market today dow gain end weekly win streak amid mix job report"" → POSITIVE (0.8474)",POSITIVE,1
2022-04-11,China's Xi Warns Putin Not to Use Nuclear Weapons in Ukraine,china xi warn putin use nuclear weapons ukraine,"Sentence: ""china xi warn putin use nuclear weapons ukraine"" → NEGATIVE (0.9982)",NEGATIVE,-1
