Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-05 00:00:00-05:00,62.76807765505219,63.04645357949944,62.58982644740742,62.78761672973633,79897600,0.0,0.0
2019-11-06 00:00:00-05:00,62.69971197172429,62.87552640132639,62.35785265082418,62.81447982788086,75864400,0.0,0.0
2019-11-07 00:00:00-05:00,63.37043755664115,63.764761642408324,63.21613715239949,63.539432525634766,94940400,0.1925,0.0
2019-11-08 00:00:00-05:00,63.3581894409662,63.7867983182915,62.90753871829993,63.71332550048828,69986400,0.0,0.0
2019-11-11 00:00:00-05:00,63.262673420360876,64.28399053265096,63.25777772348251,64.21786499023438,81821200,0.0,0.0
2019-11-12 00:00:00-05:00,64.05867027726481,64.3623754357189,63.90437732360724,64.15908813476562,87388800,0.0,0.0
2019-11-13 00:00:00-05:00,63.95578926068014,64.84974336814123,63.94109469804151,64.77381896972656,102734400,0.0,0.0
2019-11-14 00:00:00-05:00,64.5975024380713,64.87426260175856,64.19338685607717,64.32564544677734,89182800,0.0,0.0
2019-11-15 00:00:00-05:00,64.58034617267742,65.09467841212242,64.4162543588519,65.08978271484375,100206400,0.0,0.0
2019-11-18 00:00:00-05:00,65.09956906722043,65.49878885774656,64.71505131608552,65.41796875,86703200,0.0,0.0
2019-11-19 00:00:00-05:00,65.61390588040467,65.63839931531709,64.99916326788056,65.21958923339844,76167200,0.0,0.0
2019-11-20 00:00:00-05:00,65.03590453605558,65.16815564062672,63.777015136219035,64.46034240722656,106234400,0.0,0.0
2019-11-21 00:00:00-05:00,64.58279610426627,64.66117210479926,63.96804602875252,64.17133331298828,121395200,0.0,0.0
2019-11-22 00:00:00-05:00,64.31338197249084,64.45788351622942,63.884773038329335,64.11499786376953,65325200,0.0,0.0
2019-11-25 00:00:00-05:00,64.34275301458452,65.25630477676039,64.29621774543902,65.2391586303711,84020400,0.0,0.0
2019-11-26 00:00:00-05:00,65.37878651475968,65.43266908278915,64.29134375950824,64.72975158691406,105207600,0.0,0.0
2019-11-27 00:00:00-05:00,65.04569239848027,65.63350495092753,64.97956684978615,65.59921264648438,65235600,0.0,0.0
2019-11-29 00:00:00-05:00,65.29550057174804,65.63838616880555,65.12405403604656,65.45469665527344,46617600,0.0,0.0
2019-12-02 00:00:00-05:00,65.45959448466137,65.69961814759597,64.5240082124192,64.6978988647461,94487200,0.0,0.0
2019-12-03 00:00:00-05:00,63.26513033415983,63.56393230452534,62.77039583130911,63.544342041015625,114430400,0.0,0.0
2019-12-04 00:00:00-05:00,63.94110990791191,64.48972697517597,63.84558775369345,64.1052017211914,67181600,0.0,0.0
2019-12-05 00:00:00-05:00,64.60729966737195,65.12163197427597,64.34768566495954,65.04570007324219,74424400,0.0,0.0
2019-12-06 00:00:00-05:00,65.51104673895779,66.37316037483266,65.46695556447796,66.30213165283203,106075600,0.0,0.0
2019-12-09 00:00:00-05:00,66.12824224955654,66.32417479240885,64.88160332036621,65.37389373779297,128042400,0.0,0.0
