tickers_to_predict,sentiment_filepath,window,lookback,thresh,intercept,Sharpe_ratio
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,3.744
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,3.333
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,3.253
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,3.227
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,3.209
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,2.967
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,2.943
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,2.937
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,2.924
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,True,2.776
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,2.772
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,2.737
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,False,2.735
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,2.707
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,2.666
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,True,2.62
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,2.591
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.583
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,0.75,True,2.531
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,2.509
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,2.436
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,2.401
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,2.39
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.387
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,2.383
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.354
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.0,False,2.35
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,False,2.346
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,2.34
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,2.325
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,2.303
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,False,2.292
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,2.29
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,True,2.279
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,2.275
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,0.75,True,2.268
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,2.262
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,2.253
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,False,2.234
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.5,True,2.231
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,True,2.231
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,2.227
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.227
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.215
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.209
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,2.18
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,False,2.18
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,2.153
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,2.128
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,2.091
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,True,2.084
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,2.084
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,2.084
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.0,True,2.084
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,False,2.058
