Date,Title,Text,Processed Title,Processed Text,Sentiment Title,Sentiment Text,Positive Title,Positive Text
2022-08-26,Top 5 Things to Watch in Markets in the Week Ahead,"By Ceyda Caglayan and Ezgi Erkoyun
ISTANBUL (Reuters) - Turkish sports presenter Sinem Okten was surprised to see her visa application to Europe's Schengen area rejected twice,...",top 5 things to watch in markets in the week ahead,"by ceyda caglayan and ezgi erkoyun istanbul reuters  turkish sports presenter sinem okten was surprised to see her visa application to europes schengen area rejected twice","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.113, 'neu': 0.822, 'pos': 0.065, 'compound': -0.34}",True,False
2022-08-24,Top 5 Things to Watch in Markets in the Week Ahead,"By Phil Stewart and Idrees Ali
WASHINGTON (Reuters) -The U.S. military said it carried out air strikes on Tuesday in Syria's Deir al-Zor against facilities used by groups...",top 5 things to watch in markets in the week ahead,"by phil stewart and idrees ali washington reuters the us military said it carried out air strikes on tuesday in syrias deir alzor against facilities used by groups","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.3612}",True,False
2022-08-10,Top 5 Things to Watch in Markets in the Week Ahead,"By Jennifer Rigby
LONDON (Reuters) - Supplies of a vaccine to prevent the deadly rotavirus infection in children have either run out in Kenya, Tanzania, Senegal and Cameroon or are...",top 5 things to watch in markets in the week ahead,"by jennifer rigby london reuters  supplies of a vaccine to prevent the deadly rotavirus infection in children have either run out in kenya tanzania senegal and cameroon or are","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.0258}",True,True
2022-07-28,Top 5 Things to Watch in Markets in the Week Ahead,"By Alexandra Alper and Idrees Ali
WASHINGTON (Reuters) - The United States needs to keep modernizing its nuclear command and control system to combat possible spying from foreign...",top 5 things to watch in markets in the week ahead,"by alexandra alper and idrees ali washington reuters  the united states needs to keep modernizing its nuclear command and control system to combat possible spying from foreign","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.079, 'neu': 0.828, 'pos': 0.093, 'compound': 0.1027}",True,True
2022-06-26,Top 5 Things to Watch in Markets in the Week Ahead,"By Terje Solsvik and Gwladys Fouche
OSLO (Reuters) -Terrified revellers at a gay bar in Oslo hid in a basement and desperately called loved ones as a gunman went on the rampage,...",top 5 things to watch in markets in the week ahead,"by terje solsvik and gwladys fouche oslo reuters terrified revellers at a gay bar in oslo hid in a basement and desperately called loved ones as a gunman went on the rampage","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.217, 'neu': 0.678, 'pos': 0.106, 'compound': -0.4767}",True,False
2022-06-15,Top 5 Things to Watch in Markets in the Week Ahead,"By Jonathan Stempel
NEW YORK (Reuters) - A U.S. judge on Wednesday said the owner of an oil tanker must pay the United States $44.6 million over its role in a 2017 collision...",top 5 things to watch in markets in the week ahead,"by jonathan stempel new york reuters  a us judge on wednesday said the owner of an oil tanker must pay the united states 446 million over its role in a 2017 collision","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.116, 'neu': 0.801, 'pos': 0.083, 'compound': -0.0258}",True,False
2022-05-21,Top 5 Things to Watch in Markets in the Week Ahead,"By Jennifer Rigby and Natalie Grover
LONDON (Reuters) - The World Health Organization was holding an emergency meeting on Friday to discuss the recent outbreak of monkeypox, a...",top 5 things to watch in markets in the week ahead,"by jennifer rigby and natalie grover london reuters  the world health organization was holding an emergency meeting on friday to discuss the recent outbreak of monkeypox a","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.3818}",True,False
2022-05-19,Top 5 Things to Watch in Markets in the Week Ahead,"By Parisa Hafezi
DUBAI (Reuters) - Iranian security forces fired live rounds and tear gas to disperse anti-government protesters in several provinces on Thursday, according to...",top 5 things to watch in markets in the week ahead,"by parisa hafezi dubai reuters  iranian security forces fired live rounds and tear gas to disperse antigovernment protesters in several provinces on thursday according to","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.184, 'neu': 0.736, 'pos': 0.08, 'compound': -0.4767}",True,False
2022-05-16,Top 5 Things to Watch in Markets in the Week Ahead,"By Geoffrey Smith
Investing.com -- Sweden's Prime Minister confirmed that the country will formally apply to join the North Atlantic Treaty Organization, formally ending a policy...",top 5 things to watch in markets in the week ahead,"by geoffrey smith investingcom  swedens prime minister confirmed that the country will formally apply to join the north atlantic treaty organization formally ending a policy","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",True,True
2022-05-14,Top 5 Things to Watch in Markets in the Week Ahead,"By Geoffrey Smith 
Investing.com -- The leaders of Russia and Germany spoke for over an hour by telephone on Friday to discuss the war in Ukraine but the two sides' respective...",top 5 things to watch in markets in the week ahead,"by geoffrey smith  investingcom  the leaders of russia and germany spoke for over an hour by telephone on friday to discuss the war in ukraine but the two sides respective","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.072, 'neu': 0.82, 'pos': 0.108, 'compound': 0.3071}",True,True
