Date,Title,Text,Processed Title,Processed Text,Sentence Title,Sentence Text,Label Title,Score Title,Label Text,Score Text
2022-08-26,Top 5 Things to Watch in Markets in the Week Ahead,"By Ceyda Caglayan and Ezgi Erkoyun
ISTANBUL (Reuters) - Turkish sports presenter Sinem Okten was surprised to see her visa application to Europe's Schengen area rejected twice,...",top 5 things to watch in markets in the week ahead,by ceyda caglayan and ezgi erkoyun istanbul reuters  turkish sports presenter sinem okten was surprised to see her visa application to europes schengen area rejected twice,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by ceyda caglayan and ezgi erkoyun istanbul reuters turkish sports presenter sinem okten was surprised to see her visa application to europes schengen area rejected twice"" → NEGATIVE (0.9944)",POSITIVE,0.999607264995575,NEGATIVE,-0.994376540184021
2022-08-24,Top 5 Things to Watch in Markets in the Week Ahead,"By Phil Stewart and Idrees Ali
WASHINGTON (Reuters) -The U.S. military said it carried out air strikes on Tuesday in Syria's Deir al-Zor against facilities used by groups...",top 5 things to watch in markets in the week ahead,by phil stewart and idrees ali washington reuters the us military said it carried out air strikes on tuesday in syrias deir alzor against facilities used by groups,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by phil stewart and idrees ali washington reuters the us military said it carried out air strikes on tuesday in syrias deir alzor against facilities used by groups"" → NEGATIVE (0.9922)",POSITIVE,0.999607264995575,NEGATIVE,-0.9922077059745789
2022-08-10,Top 5 Things to Watch in Markets in the Week Ahead,"By Jennifer Rigby
LONDON (Reuters) - Supplies of a vaccine to prevent the deadly rotavirus infection in children have either run out in Kenya, Tanzania, Senegal and Cameroon or are...",top 5 things to watch in markets in the week ahead,by jennifer rigby london reuters  supplies of a vaccine to prevent the deadly rotavirus infection in children have either run out in kenya tanzania senegal and cameroon or are,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by jennifer rigby london reuters supplies of a vaccine to prevent the deadly rotavirus infection in children have either run out in kenya tanzania senegal and cameroon or are"" → NEGATIVE (0.9049)",POSITIVE,0.999607264995575,NEGATIVE,-0.9049028754234314
2022-07-28,Top 5 Things to Watch in Markets in the Week Ahead,"By Alexandra Alper and Idrees Ali
WASHINGTON (Reuters) - The United States needs to keep modernizing its nuclear command and control system to combat possible spying from foreign...",top 5 things to watch in markets in the week ahead,by alexandra alper and idrees ali washington reuters  the united states needs to keep modernizing its nuclear command and control system to combat possible spying from foreign,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by alexandra alper and idrees ali washington reuters the united states needs to keep modernizing its nuclear command and control system to combat possible spying from foreign"" → NEGATIVE (0.8729)",POSITIVE,0.999607264995575,NEGATIVE,-0.8728597164154053
2022-06-26,Top 5 Things to Watch in Markets in the Week Ahead,"By Terje Solsvik and Gwladys Fouche
OSLO (Reuters) -Terrified revellers at a gay bar in Oslo hid in a basement and desperately called loved ones as a gunman went on the rampage,...",top 5 things to watch in markets in the week ahead,by terje solsvik and gwladys fouche oslo reuters terrified revellers at a gay bar in oslo hid in a basement and desperately called loved ones as a gunman went on the rampage,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by terje solsvik and gwladys fouche oslo reuters terrified revellers at a gay bar in oslo hid in a basement and desperately called loved ones as a gunman went on the rampage"" → POSITIVE (0.7469)",POSITIVE,0.999607264995575,POSITIVE,0.7468510270118713
2022-06-15,Top 5 Things to Watch in Markets in the Week Ahead,"By Jonathan Stempel
NEW YORK (Reuters) - A U.S. judge on Wednesday said the owner of an oil tanker must pay the United States $44.6 million over its role in a 2017 collision...",top 5 things to watch in markets in the week ahead,by jonathan stempel new york reuters  a us judge on wednesday said the owner of an oil tanker must pay the united states 446 million over its role in a 2017 collision,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by jonathan stempel new york reuters a us judge on wednesday said the owner of an oil tanker must pay the united states 446 million over its role in a 2017 collision"" → NEGATIVE (0.9941)",POSITIVE,0.999607264995575,NEGATIVE,-0.9940587282180786
2022-05-21,Top 5 Things to Watch in Markets in the Week Ahead,"By Jennifer Rigby and Natalie Grover
LONDON (Reuters) - The World Health Organization was holding an emergency meeting on Friday to discuss the recent outbreak of monkeypox, a...",top 5 things to watch in markets in the week ahead,by jennifer rigby and natalie grover london reuters  the world health organization was holding an emergency meeting on friday to discuss the recent outbreak of monkeypox a,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by jennifer rigby and natalie grover london reuters the world health organization was holding an emergency meeting on friday to discuss the recent outbreak of monkeypox a"" → NEGATIVE (0.8966)",POSITIVE,0.999607264995575,NEGATIVE,-0.896609902381897
2022-05-19,Top 5 Things to Watch in Markets in the Week Ahead,"By Parisa Hafezi
DUBAI (Reuters) - Iranian security forces fired live rounds and tear gas to disperse anti-government protesters in several provinces on Thursday, according to...",top 5 things to watch in markets in the week ahead,by parisa hafezi dubai reuters  iranian security forces fired live rounds and tear gas to disperse antigovernment protesters in several provinces on thursday according to,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by parisa hafezi dubai reuters iranian security forces fired live rounds and tear gas to disperse antigovernment protesters in several provinces on thursday according to"" → NEGATIVE (0.9876)",POSITIVE,0.999607264995575,NEGATIVE,-0.9875671863555908
2022-05-16,Top 5 Things to Watch in Markets in the Week Ahead,"By Geoffrey Smith
Investing.com -- Sweden's Prime Minister confirmed that the country will formally apply to join the North Atlantic Treaty Organization, formally ending a policy...",top 5 things to watch in markets in the week ahead,by geoffrey smith investingcom  swedens prime minister confirmed that the country will formally apply to join the north atlantic treaty organization formally ending a policy,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by geoffrey smith investingcom swedens prime minister confirmed that the country will formally apply to join the north atlantic treaty organization formally ending a policy"" → NEGATIVE (0.9814)",POSITIVE,0.999607264995575,NEGATIVE,-0.98138028383255
2022-05-14,Top 5 Things to Watch in Markets in the Week Ahead,"By Geoffrey Smith 
Investing.com -- The leaders of Russia and Germany spoke for over an hour by telephone on Friday to discuss the war in Ukraine but the two sides' respective...",top 5 things to watch in markets in the week ahead,by geoffrey smith  investingcom  the leaders of russia and germany spoke for over an hour by telephone on friday to discuss the war in ukraine but the two sides respective,"Sentence: ""top 5 things to watch in markets in the week ahead"" → POSITIVE (0.9996)","Sentence: ""by geoffrey smith investingcom the leaders of russia and germany spoke for over an hour by telephone on friday to discuss the war in ukraine but the two sides respective"" → NEGATIVE (0.7689)",POSITIVE,0.999607264995575,NEGATIVE,-0.7689114212989807
