Date,Title,Processed Title,Sentence Title,Label Title,Score Title
2022-08-31,Tesla seeks to ease demand concerns over likely 2022 delivery target miss,tesla seeks to ease demand concerns over likely 2022 delivery target miss,"Sentence: ""tesla seeks to ease demand concerns over likely 2022 delivery target miss"" → POSITIVE (0.5105)",POSITIVE,0.5104546546936035
2022-08-31,Equities close lower as rise in yields overshadows earnings,equities close lower as rise in yields overshadows earnings,"Sentence: ""equities close lower as rise in yields overshadows earnings"" → NEGATIVE (0.9767)",NEGATIVE,-0.9766728281974792
2022-08-30,Japan ramps up intervention threats after yen slides past key 150 level,japan ramps up intervention threats after yen slides past key 150 level,"Sentence: ""japan ramps up intervention threats after yen slides past key 150 level"" → NEGATIVE (0.9777)",NEGATIVE,-0.9776975512504578
2022-08-30,2 Oversold Tech Gems With Strong Upside,2 oversold tech gems with strong upside,"Sentence: ""2 oversold tech gems with strong upside"" → NEGATIVE (0.9976)",NEGATIVE,-0.9976219534873962
2022-08-30,Chart Of The Day: AMD's Decline Could Be Far From Over,chart of the day amds decline could be far from over,"Sentence: ""chart of the day amds decline could be far from over"" → NEGATIVE (0.8497)",NEGATIVE,-0.8496667742729187
2022-08-30,Schlumberger Q3 Earnings To Add Even More Fuel To Stock’s 50% Rally,schlumberger q3 earnings to add even more fuel to stocks 50 rally,"Sentence: ""schlumberger q3 earnings to add even more fuel to stocks 50 rally"" → POSITIVE (0.9965)",POSITIVE,0.9964654445648193
2022-08-30,U.S. Justice Dept says Trump team may have moved classified papers amid probe,us justice dept says trump team may have moved classified papers amid probe,"Sentence: ""us justice dept says trump team may have moved classified papers amid probe"" → NEGATIVE (0.9934)",NEGATIVE,-0.9934322834014893
2022-08-30,Biden declares emergency over Mississippi water crisis,biden declares emergency over mississippi water crisis,"Sentence: ""biden declares emergency over mississippi water crisis"" → POSITIVE (0.9325)",POSITIVE,0.9324699640274048
2022-08-27,Tesla seeks to ease demand concerns over likely 2022 delivery target miss,tesla seeks to ease demand concerns over likely 2022 delivery target miss,"Sentence: ""tesla seeks to ease demand concerns over likely 2022 delivery target miss"" → POSITIVE (0.5105)",POSITIVE,0.5104546546936035
2022-08-27,Equities close lower as rise in yields overshadows earnings,equities close lower as rise in yields overshadows earnings,"Sentence: ""equities close lower as rise in yields overshadows earnings"" → NEGATIVE (0.9767)",NEGATIVE,-0.9766728281974792
2022-08-27,Japan ramps up intervention threats after yen slides past key 150 level,japan ramps up intervention threats after yen slides past key 150 level,"Sentence: ""japan ramps up intervention threats after yen slides past key 150 level"" → NEGATIVE (0.9777)",NEGATIVE,-0.9776975512504578
2022-08-27,2 Oversold Tech Gems With Strong Upside,2 oversold tech gems with strong upside,"Sentence: ""2 oversold tech gems with strong upside"" → NEGATIVE (0.9976)",NEGATIVE,-0.9976219534873962
2022-08-27,Chart Of The Day: AMD's Decline Could Be Far From Over,chart of the day amds decline could be far from over,"Sentence: ""chart of the day amds decline could be far from over"" → NEGATIVE (0.8497)",NEGATIVE,-0.8496667742729187
2022-08-27,Schlumberger Q3 Earnings To Add Even More Fuel To Stock’s 50% Rally,schlumberger q3 earnings to add even more fuel to stocks 50 rally,"Sentence: ""schlumberger q3 earnings to add even more fuel to stocks 50 rally"" → POSITIVE (0.9965)",POSITIVE,0.9964654445648193
2022-08-26,U.S. judge indicates intent to name special master in Trump FBI search,us judge indicates intent to name special master in trump fbi search,"Sentence: ""us judge indicates intent to name special master in trump fbi search"" → NEGATIVE (0.9675)",NEGATIVE,-0.9675407409667969
2022-08-26,Exclusive-Pennsylvania candidate Mastriano posed in Confederate uniform at Army War College,exclusivepennsylvania candidate mastriano posed in confederate uniform at army war college,"Sentence: ""exclusivepennsylvania candidate mastriano posed in confederate uniform at army war college"" → NEGATIVE (0.9908)",NEGATIVE,-0.9907829165458679
2022-08-25,Tesla seeks to ease demand concerns over likely 2022 delivery target miss,tesla seeks to ease demand concerns over likely 2022 delivery target miss,"Sentence: ""tesla seeks to ease demand concerns over likely 2022 delivery target miss"" → POSITIVE (0.5105)",POSITIVE,0.5104546546936035
2022-08-25,Equities close lower as rise in yields overshadows earnings,equities close lower as rise in yields overshadows earnings,"Sentence: ""equities close lower as rise in yields overshadows earnings"" → NEGATIVE (0.9767)",NEGATIVE,-0.9766728281974792
2022-08-24,Japan ramps up intervention threats after yen slides past key 150 level,japan ramps up intervention threats after yen slides past key 150 level,"Sentence: ""japan ramps up intervention threats after yen slides past key 150 level"" → NEGATIVE (0.9777)",NEGATIVE,-0.9776975512504578
2022-08-24,2 Oversold Tech Gems With Strong Upside,2 oversold tech gems with strong upside,"Sentence: ""2 oversold tech gems with strong upside"" → NEGATIVE (0.9976)",NEGATIVE,-0.9976219534873962
2022-08-24,Chart Of The Day: AMD's Decline Could Be Far From Over,chart of the day amds decline could be far from over,"Sentence: ""chart of the day amds decline could be far from over"" → NEGATIVE (0.8497)",NEGATIVE,-0.8496667742729187
2022-08-24,Schlumberger Q3 Earnings To Add Even More Fuel To Stock’s 50% Rally,schlumberger q3 earnings to add even more fuel to stocks 50 rally,"Sentence: ""schlumberger q3 earnings to add even more fuel to stocks 50 rally"" → POSITIVE (0.9965)",POSITIVE,0.9964654445648193
2022-08-24,U.S. releases 2019 memo opposing Trump obstruction charges,us releases 2019 memo opposing trump obstruction charges,"Sentence: ""us releases 2019 memo opposing trump obstruction charges"" → NEGATIVE (0.9818)",NEGATIVE,-0.9818068742752075
2022-08-24,Ex-football star Herschel Walker's woes hurt Republican chance of taking U.S. Senate,exfootball star herschel walkers woes hurt republican chance of taking us senate,"Sentence: ""exfootball star herschel walkers woes hurt republican chance of taking us senate"" → NEGATIVE (0.9965)",NEGATIVE,-0.9964634776115417
2022-08-23,Tesla seeks to ease demand concerns over likely 2022 delivery target miss,tesla seeks to ease demand concerns over likely 2022 delivery target miss,"Sentence: ""tesla seeks to ease demand concerns over likely 2022 delivery target miss"" → POSITIVE (0.5105)",POSITIVE,0.5104546546936035
2022-08-23,Equities close lower as rise in yields overshadows earnings,equities close lower as rise in yields overshadows earnings,"Sentence: ""equities close lower as rise in yields overshadows earnings"" → NEGATIVE (0.9767)",NEGATIVE,-0.9766728281974792
2022-08-22,Japan ramps up intervention threats after yen slides past key 150 level,japan ramps up intervention threats after yen slides past key 150 level,"Sentence: ""japan ramps up intervention threats after yen slides past key 150 level"" → NEGATIVE (0.9777)",NEGATIVE,-0.9776975512504578
2022-08-22,2 Oversold Tech Gems With Strong Upside,2 oversold tech gems with strong upside,"Sentence: ""2 oversold tech gems with strong upside"" → NEGATIVE (0.9976)",NEGATIVE,-0.9976219534873962
2022-08-22,Chart Of The Day: AMD's Decline Could Be Far From Over,chart of the day amds decline could be far from over,"Sentence: ""chart of the day amds decline could be far from over"" → NEGATIVE (0.8497)",NEGATIVE,-0.8496667742729187
2022-08-22,Schlumberger Q3 Earnings To Add Even More Fuel To Stock’s 50% Rally,schlumberger q3 earnings to add even more fuel to stocks 50 rally,"Sentence: ""schlumberger q3 earnings to add even more fuel to stocks 50 rally"" → POSITIVE (0.9965)",POSITIVE,0.9964654445648193
2022-08-22,Two alleged militia members found guilty of plot to abduct Michigan governor,two alleged militia members found guilty of plot to abduct michigan governor,"Sentence: ""two alleged militia members found guilty of plot to abduct michigan governor"" → NEGATIVE (0.958)",NEGATIVE,-0.9579941630363464
2022-08-22,"Biden approval rises to 41%, highest since early June, Reuters/Ipsos finds",biden approval rises to 41 highest since early june reutersipsos finds,"Sentence: ""biden approval rises to 41 highest since early june reutersipsos finds"" → POSITIVE (0.5875)",POSITIVE,0.5875433683395386
2022-08-18,Tesla seeks to ease demand concerns over likely 2022 delivery target miss,tesla seeks to ease demand concerns over likely 2022 delivery target miss,"Sentence: ""tesla seeks to ease demand concerns over likely 2022 delivery target miss"" → POSITIVE (0.5105)",POSITIVE,0.5104546546936035
2022-08-17,Equities close lower as rise in yields overshadows earnings,equities close lower as rise in yields overshadows earnings,"Sentence: ""equities close lower as rise in yields overshadows earnings"" → NEGATIVE (0.9767)",NEGATIVE,-0.9766728281974792
2022-08-17,Japan ramps up intervention threats after yen slides past key 150 level,japan ramps up intervention threats after yen slides past key 150 level,"Sentence: ""japan ramps up intervention threats after yen slides past key 150 level"" → NEGATIVE (0.9777)",NEGATIVE,-0.9776975512504578
2022-08-17,2 Oversold Tech Gems With Strong Upside,2 oversold tech gems with strong upside,"Sentence: ""2 oversold tech gems with strong upside"" → NEGATIVE (0.9976)",NEGATIVE,-0.9976219534873962
2022-08-17,Chart Of The Day: AMD's Decline Could Be Far From Over,chart of the day amds decline could be far from over,"Sentence: ""chart of the day amds decline could be far from over"" → NEGATIVE (0.8497)",NEGATIVE,-0.8496667742729187
2022-08-17,Schlumberger Q3 Earnings To Add Even More Fuel To Stock’s 50% Rally,schlumberger q3 earnings to add even more fuel to stocks 50 rally,"Sentence: ""schlumberger q3 earnings to add even more fuel to stocks 50 rally"" → POSITIVE (0.9965)",POSITIVE,0.9964654445648193
2022-08-17,"Analysis-Rejected by Wyoming Republicans, Cheney sets sights on stopping Trump",analysisrejected by wyoming republicans cheney sets sights on stopping trump,"Sentence: ""analysisrejected by wyoming republicans cheney sets sights on stopping trump"" → POSITIVE (0.6617)",POSITIVE,0.6617397665977478
2022-08-17,U.S. judge reinstates North Carolina ban on late-term abortions,us judge reinstates north carolina ban on lateterm abortions,"Sentence: ""us judge reinstates north carolina ban on lateterm abortions"" → NEGATIVE (0.9619)",NEGATIVE,-0.9618716835975647
