,Date,Title,Text,Processed Title,Processed Text,Sentiment Title,Sentiment Text,Positive Title,Positive Text
0,"Apr 24, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Gina Lee
Investing.com -- Oil was mixed on Tuesday morning in Asia, with a sudden fall in Libyan supplies adding to concerns about a tight market. Investors also continue to...",top 5 things to watch in markets in the week ahead,by gina lee investingcom  oil was mixed on tuesday morning in asia with a sudden fall in libyan supplies adding to concerns about a tight market investors also continue to,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
1,"Mar 23, 2022",Top 5 Things to Watch in Markets in the Week Ahead,"By Yasin Ebrahim
Investing.com -- U.S. crude stockpiles dropped sharply last week, snapping two-weeks of gains at a time when fears of a supply shortage are receding amid fading...",top 5 things to watch in markets in the week ahead,by yasin ebrahim investingcom  us crude stockpiles dropped sharply last week snapping twoweeks of gains at a time when fears of a supply shortage are receding amid fading,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.258, 'neu': 0.669, 'pos': 0.073, 'compound': -0.7269}",True,False
2,"Dec 13, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Alistair Smout
LONDON (Reuters) -Booster COVID-19 shots significantly restore protection against mild disease caused by the Omicron variant, in part reversing an otherwise steep...",top 5 things to watch in markets in the week ahead,by alistair smout london reuters booster covid19 shots significantly restore protection against mild disease caused by the omicron variant in part reversing an otherwise steep,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.296}",True,True
3,"Dec 03, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Trevor Hunnicutt
WASHINGTON (Reuters) - The United States on Wednesday identified its first known case of Omicron, discovered in a fully vaccinated patient who traveled to South...",top 5 things to watch in markets in the week ahead,by trevor hunnicutt washington reuters  the united states on wednesday identified its first known case of omicron discovered in a fully vaccinated patient who traveled to south,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4215}",True,True
4,"Nov 11, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By David Shepardson
WASHINGTON (Reuters) - The U.S. Postal Service raised concerns on Wednesday that the Biden administration's new rules requiring large employers to require...",top 5 things to watch in markets in the week ahead,by david shepardson washington reuters  the us postal service raised concerns on wednesday that the biden administrations new rules requiring large employers to require,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
5,"Nov 08, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Krisztina Than and Nikolaj Skydsgaard
BUDAPEST (Reuters) - Coronavirus infections are hitting record levels in many countries across Europe as winter takes hold, prompting a...",top 5 things to watch in markets in the week ahead,by krisztina than and nikolaj skydsgaard budapest reuters  coronavirus infections are hitting record levels in many countries across europe as winter takes hold prompting a,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
6,"Oct 20, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Krishna N. Das
NEW DELHI (Reuters) - India's vaccination campaign has slowed despite amassing record stockpiles of vaccine, health ministry data showed on Monday, as authorities...",top 5 things to watch in markets in the week ahead,by krishna n das new delhi reuters  indias vaccination campaign has slowed despite amassing record stockpiles of vaccine health ministry data showed on monday as authorities,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
7,"Aug 18, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Peter Nurse   
Investing.com -- Crude oil prices weakened Tuesday, continuing the sharp losses of the previous session on concerns slowing global growth will hit demand in the...",top 5 things to watch in markets in the week ahead,by peter nurse    investingcom  crude oil prices weakened tuesday continuing the sharp losses of the previous session on concerns slowing global growth will hit demand in the,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.293, 'neu': 0.632, 'pos': 0.075, 'compound': -0.765}",True,False
8,"Jul 30, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Michael Erman and Carl O'Donnell
(Reuters) -Top U.S. infectious disease expert Dr. Anthony Fauci said on Friday he hopes regulators as soon as next month could start granting...",top 5 things to watch in markets in the week ahead,by michael erman and carl odonnell reuters top us infectious disease expert dr anthony fauci said on friday he hopes regulators as soon as next month could start granting,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.7096}",True,True
9,"Jul 28, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Danielle Kaye
(Reuters) - All Washington Post employees will be required to present proof of full COVID-19 vaccination by mid-September as a condition of employment, with...",top 5 things to watch in markets in the week ahead,by danielle kaye reuters  all washington post employees will be required to present proof of full covid19 vaccination by midseptember as a condition of employment with,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
10,"Jul 12, 2021",Top 5 Things to Watch in Markets in the Week Ahead,"By Barani Krishnan
Investing.com - Crude prices posted their first weekly loss since mid-May as worries about trouble within OPEC tempered the bull market for oil.
The loss was a...",top 5 things to watch in markets in the week ahead,by barani krishnan investingcom  crude prices posted their first weekly loss since midmay as worries about trouble within opec tempered the bull market for oil the loss was a,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.9153}",True,False
