"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,396,557,976,700","0.60%","21.67","6.21","32.78","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,700,887,137,266","1.08%","22.04","8.83","9.80","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,091,160,310,000","0.00%","6.82","4.04","2.00","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,091,160,310,000","0.00%","6.69","4.04","1.96","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$987,418,107,695","0.00%","42.54","2.07","6.80","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$713,867,145,652","0.00%","80.33","11.48","19.79","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$648,469,030,904","0.00%","4.42","1.83","0.71","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$511,944,311,010","1.13%","29.14","1.73","6.99","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$466,400,177,773","3.10%","17.95","1.52","2.74","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$452,540,967,536","2.51%","22.51","4.77","5.97","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$384,580,373,294","1.56%","29.39","0.67","4.97","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$375,809,151,779","3.09%","9.21","3.13","1.30","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$358,028,307,952","3.03%","17.35","2.02","2.43","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$338,333,581,525","0.72%","23.23","12.56","8.85","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$337,220,700,000","0.12%","34.26","12.53","12.56","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$335,012,636,978","1.07%","56.07","11.43","36.83","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$321,756,168,244","2.65%","21.58","4.04","6.93","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$317,797,635,231","0.59%","31.07","15.97","41.92","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$303,084,450,715","2.46%","17.45","1.99","-168.62","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$290,412,047,052","2.33%","9.73","3.24","1.08","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$269,449,010,350","3.27%","10.47","2.92","3.17","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$259,751,056,080","3.78%","20.46","4.58","15.68","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$257,913,971,065","2.89%","24.66","6.43","10.23","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$256,088,000,000","0.00%","0.00","0.00","0.00","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$252,719,997,337","2.73%","17.64","4.68","6.12","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$249,034,716,619","2.44%","24.10","3.08","13.46","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$221,284,368,334","0.70%","39.04","1.05","11.08","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$207,901,384,550","1.65%","26.75","4.97","-23.26","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$202,825,227,738","0.22%","25.09","4.93","4.66","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$200,814,029,119","2.01%","28.23","8.45","-33.52","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$193,244,124,362","0.00%","68.25","2.52","2.00","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$189,500,181,262","3.48%","23.88","6.65","7.82","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$189,459,791,526","0.00%","65.74","2.35","2.63","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$187,116,517,171","1.42%","26.72","3.30","8.31","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$186,788,055,832","3.29%","15.01","3.62","4.46","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$186,227,418,426","0.37%","27.93","6.15","3.79","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$178,902,547,661","2.11%","9.00","2.31","0.97","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$173,913,632,677","1.88%","21.86","3.91","4.77","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$165,276,983,116","3.07%","13.46","3.07","3.52","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$165,202,658,962","2.75%","26.69","3.52","5.28","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$159,820,000,000","0.00%","101.34","6.03","2.52","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$156,947,177,994","6.74%","7.29","1.17","1.86","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$152,682,990,311","2.12%","105.50","9.41","4.28","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$147,843,431,885","2.85%","17.30","7.80","10.13","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$147,409,145,056","1.52%","36.60","4.64","3.42","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$146,917,698,000","0.00%","27.54","9.10","9.65","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$145,533,287,051","2.75%","24.85","5.53","155.27","Analyze"
