Date,AAPL,META,TSLA,World,Politics,Coronavirus
2018-01-02,0.009713333333333329,0.135235,0.15184214285714287,,,
2018-01-03,-0.18571999999999997,0.42250000000000004,-0.003932857142857143,-0.0701493670886076,,
2018-01-04,0.0,0.03250666666666667,0.07838,-0.11600833333333332,,
2018-01-05,-0.033466666666666665,0.16965555555555556,0.13138,-0.19654423076923078,,
2018-01-08,-0.4019,0.26708571428571426,0.013062500000000005,-0.1987078125,,
2018-01-09,0.21458333333333335,0.028200000000000013,-0.13051785714285713,-0.12176923076923077,,
2018-01-10,0.0,-0.064,0.071825,-0.1255453125,,
2018-01-11,-0.04709738095238095,0.1144222222222222,0.045825000000000005,-0.052443636363636366,,
2018-01-12,-0.006007333333333334,0.086385,-0.05107666666666666,-0.2332037037037037,,
2018-01-16,-0.17169333333333334,0.127455,-0.074424,,,
2018-01-17,-0.178,0.12414,-0.117775,,,
2018-01-18,0.07116333333333333,-0.04030966666666667,-0.19101166666666666,,,
2018-01-19,-0.160475,-0.103796,-0.047281,,,
2018-01-22,0.0923,0.09019466666666667,0.09614,,,
2018-01-23,0.04987500000000001,0.05746533333333333,0.03992327272727273,,,
2018-01-24,0.00772,-0.17092666666666667,-0.07063047619047619,,,
2018-01-25,-0.15471333333333334,0.09894,0.1008643333333333,,,
2018-01-26,0.010450303030303023,0.10642190476190476,-0.04741619047619048,,,
2018-01-29,-0.17572333333333334,-0.17092666666666667,0.052062,,,
2018-01-30,-0.14232333333333333,0.025080000000000012,-0.0031946153846153956,,,
2018-01-31,-0.006140000000000004,-0.10190933333333334,0.09048,,,
2018-02-01,-0.08989735930735931,-0.11460200000000002,-0.07880933333333333,,,
2018-02-02,-0.186075,-0.0010966666666666653,0.08677333333333333,,,
2018-02-05,-0.27856000000000003,0.116425,-0.0864,-0.08711538461538461,,
2018-02-06,-0.1433866666666667,0.069132,0.036626666666666675,-0.22531428571428572,,
2018-02-07,0.0,-0.09020266666666667,-0.07224,-0.11287368421052632,,
2018-02-08,-0.04202166666666666,-0.11622,0.21280000000000002,-0.11828181818181817,,
2018-02-09,-0.05045066666666668,-0.04086166666666667,0.050749999999999997,-0.19654,-0.15172,
2018-02-12,0.17054,0.015898333333333334,0.09048,-0.06814999999999999,-0.119175,
2018-02-13,0.014253333333333335,-0.022492666666666668,-0.09476166666666667,-0.15888072289156627,0.05858,
2018-02-14,0.053878999999999996,-0.057724,0.13584857142857143,-0.11825131578947368,-0.07390526315789474,
2018-02-15,-0.14487333333333335,-0.23012666666666667,-0.03899545454545454,-0.13544032258064514,-0.017499999999999998,
2018-02-16,-0.15042833333333333,-0.03759666666666667,-0.181384,-0.14231290322580645,0.12358,
2018-02-20,-0.17662399999999998,-0.09811333333333334,-0.105145,-0.21090246913580243,-0.1472153846153846,
2018-02-21,-0.12611,-0.08056500000000001,-0.040079555555555556,-0.17953717948717948,-0.0861,
2018-02-22,-0.15900166666666668,-0.059199999999999996,-0.004748,-0.21197625000000003,-0.11398333333333333,
2018-02-23,0.027251666666666674,-0.10661000000000001,0.009906666666666666,-0.18651617647058824,-0.283625,
2018-02-26,-0.02646,0.11943533333333334,0.09194214285714286,-0.17566363636363636,-0.07294666666666667,
